image_id,product_id,image_url,alt_text,is_primary,display_order,created_at
31,18,https://example.com/products/switch-oled-main.jpg,Nintendo Switch OLED,TRUE,1,2024-01-28 14:30:00
32,19,https://example.com/products/midnight-library-cover.jpg,The Midnight Library Book Cover,TRUE,1,2024-01-10 09:00:00
33,20,https://example.com/products/atomic-habits-cover.jpg,Atomic Habits Book Cover,TRUE,1,2024-01-12 10:30:00
34,21,https://example.com/products/fitbit-charge6-black.jpg,Fitbit Charge 6 Black,TRUE,1,2024-03-01 11:15:00
35,22,https://example.com/products/neutrogena-hydroboost.jpg,Neutrogena Hydro Boost Set,TRUE,1,2024-03-05 13:45:00
36,23,https://example.com/products/wilson-basketball.jpg,Wilson Evolution Basketball,TRUE,1,2024-02-08 10:00:00
37,24,https://example.com/products/yeti-tumbler-steel.jpg,Yeti Rambler 30oz Tumbler,TRUE,1,2024-02-14 15:20:00
38,25,https://example.com/products/canon-r6m2-body.jpg,Canon EOS R6 Mark II Camera Body,TRUE,1,2024-03-22 09:45:00
39,25,https://example.com/products/canon-r6m2-sensor.jpg,Canon EOS R6 Mark II Sensor,FALSE,2,2024-03-22 09:45:00
40,26,https://example.com/products/bose-soundlink-blue.jpg,Bose SoundLink Flex Blue,TRUE,1,2024-03-12 14:00:00
41,27,https://example.com/products/samsung-qled-65.jpg,Samsung 65-inch QLED TV,TRUE,1,2024-01-30 11:30:00
42,28,https://example.com/products/dyson-v15-main.jpg,Dyson V15 Detect Cordless,TRUE,1,2024-02-22 10:15:00
43,29,https://example.com/products/ninja-airfryer-8qt.jpg,Ninja Foodi 8-Qt Air Fryer,TRUE,1,2024-02-28 13:00:00
44,30,https://example.com/products/instant-pot-duo.jpg,Instant Pot Duo 7-in-1,TRUE,1,2024-01-16 09:30:00
