review_id,product_id,customer_id,rating,review_title,review_text,is_verified_purchase,helpful_count,created_at
28,16,3,5,Kitchen workhorse,"This mixer is incredible. Powerful motor handles any task, multiple attachments make it versatile, and it looks beautiful on the counter.",TRUE,93,2024-04-25 11:30:00
29,16,20,5,Baking game changer,"Made bread, pizza dough, cakes, and whipped cream - handles everything effortlessly. Build quality is exceptional.",TRUE,71,2024-06-18 15:00:00
30,17,2,5,Next-gen gaming amazing,"The graphics are stunning, load times are nearly instant with the SSD, and the DualSense controller adds immersion. PS5 is worth the wait.",TRUE,156,2024-04-05 16:45:00
31,17,15,5,Best console ever,"Game library is growing nicely, performance is incredible, and backwards compatibility with PS4 is seamless. Highly recommend.",TRUE,112,2024-06-22 13:15:00
32,17,10,4,Great but hard to find,"Amazing gaming experience when you can actually get one. Stock availability has improved but still challenging.",TRUE,67,2024-08-10 10:30:00
33,18,8,5,Perfect portable gaming,"The OLED screen is gorgeous, battery life is good, and the versatility of handheld/docked gaming is unmatched.",TRUE,84,2024-05-08 14:00:00
34,18,14,5,Best for Nintendo exclusives,"Pokemon, Zelda, Mario - the exclusive games make this console essential. OLED upgrade is worth it for the better screen.",TRUE,59,2024-07-02 11:20:00
35,20,1,5,Life-changing book,"This book genuinely changed how I approach building habits. Practical, science-based, and easy to implement. Highly recommend.",TRUE,234,2024-03-15 09:00:00
36,20,4,5,Best self-improvement book,"Clear and actionable advice backed by research. I've successfully built several new habits using the techniques in this book.",TRUE,187,2024-04-20 10:30:00
37,20,7,5,Must-read for everyone,"Whether you want to build good habits or break bad ones, this book provides a clear framework. One of the best books I've read.",TRUE,156,2024-05-25 13:45:00
38,20,11,5,Practical and effective,"Not just theory - the book provides specific strategies you can implement immediately. Seeing results after just a few weeks.",TRUE,143,2024-06-30 15:15:00
39,21,5,4,Great fitness tracker,"Accurate heart rate monitoring, GPS works well, and battery lasts about a week. Sleep tracking insights are helpful.",TRUE,42,2024-06-15 11:00:00
40,21,12,4,Good but not perfect,"Solid fitness tracker with good accuracy. Only wish the screen was slightly larger and battery lasted longer.",TRUE,28,2024-07-20 14:30:00
41,24,6,5,Best tumbler ever,"Keeps ice frozen for over 24 hours even in summer heat. Build quality is excellent and worth the premium price.",TRUE,67,2024-05-28 10:15:00
42,24,13,5,Quality you can trust,"Yeti products are expensive but they last forever and perform flawlessly. This tumbler goes everywhere with me.",TRUE,54,2024-07-05 13:00:00
43,25,17,5,Professional photography tool,"Incredible autofocus system, excellent low-light performance, and the image quality is stunning. Worth upgrading from R6 Mark I.",TRUE,45,2024-07-15 16:30:00
44,27,2,4,Great TV for the price,"Picture quality is excellent with QLED technology. Smart features work well though the interface could be more intuitive.",TRUE,38,2024-04-18 11:45:00
45,27,20,5,Excellent 4K TV,"Gaming at 120Hz is smooth, HDR looks fantastic, and the size is perfect for our living room. Very happy with this purchase.",TRUE,52,2024-06-10 14:20:00
46,28,3,5,Cleaning revolution,"This vacuum is amazing. The laser shows dirt you can't see, suction is powerful, and battery lasts long enough for whole house.",TRUE,89,2024-05-22 10:00:00
47,28,11,5,Best vacuum I've owned,"Cordless convenience without sacrificing power. The automatic power adjustment and filtration system are excellent.",TRUE,67,2024-07-08 15:45:00
48,30,1,5,Kitchen essential,"Use this almost daily for meal prep. Pressure cooking is fast, yogurt function is great, and it's easy to clean.",TRUE,178,2024-03-10 09:30:00
49,30,10,5,Replaces 7 appliances,"This thing does everything - pressure cook, slow cook, rice, yogurt, sterilize. Saves so much counter space.",TRUE,145,2024-05-15 11:15:00
50,30,15,4,Very useful but learning curve,"Once you figure it out it's fantastic, but the manual could be clearer. Lots of recipes online help.",TRUE,92,2024-07-20 13:30:00
